"id","name","kapazitaet","gebaeude","adresse"
"BB05C01","Analytische Chemie Hörerlabor links","32","BB - Eckbau","Getreidemarkt 9,"
"BB05C17","Analytische Chemie Hörerlabor rechts","32","BB - Eckbau","Getreidemarkt 9,"
"BB04C23","Anorganische Spurenalanlytik","3","BB - Eckbau","Getreidemarkt 9,"
"ATIB","Atominstitut Bibliothek","25","ZA - Atominstitut","Stadionallee 2, 1. Stock, links"
"ABL","Aufbaulabor - Achtung! Werkraum, kein Hörsaal!","120","AA - Hauptgebäude","Karlsplatz 13, Hauptgebäude, Stiege 7, 1.Stock"
"OZEG43","Besprechung O214 - 1","14","OZ - ARSENAL Objekt 214","Franz-Grill-Straße 9,"
"BC01A04","Besprechungsraum 01","5","BC - Lehartrakt","Lehargasse 4,"
"FB0411","Besprechungsraum 01","10","FB - Erzherzog-Johann-Pl. 1","Erzherzog-Johann-Platz 1,"
"FB0402","Besprechungsraum 02","10","FB - Erzherzog-Johann-Pl. 1","Erzherzog-Johann-Platz 1,"
"CH0205B","Besprechungsraum 362 - 2","12","CH - ZMNS","Gußhausstraße 25-25a,"
"BRG","Besprechungsraum Galerie","12","EA - Institutsgebäude","Argentinierstraße 8, Argentinierstrasse 8, 1. Stock"
"BRK","Besprechungsraum Kuppel","6","EA - Institutsgebäude","Argentinierstraße 8, Argentienerstraße 8, EG"
"CF0117","Bibliothek E354","20","CF - Haupttrakt","Gußhausstraße 25-25a, Gußhausstraße 25"
"CB0115","Bibliothek E363","20","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29,"
"BZ0101","Büro Birner-Grünberger","3","BZ - Geniegebäude","Getreidemarkt 9,"
"BB03I25","Büro Kasper-Giebl","3","BB - Eckbau","Getreidemarkt 9,"
"BB05N25","Büro Marchetti-Deschmann","3","BB - Eckbau","Getreidemarkt 9,"
"BI02A07","Büro Schnürch","5","BI - Loschmitdt Trakt","Getreidemarkt 9,"
"BI02H08","Büro Stanetty","3","BI - Loschmitdt Trakt","Getreidemarkt 9,"
"BD 07 D32","CAD-Labor Saal 1 und 2","60","BD - Hoftrakt","Lehargasse 6,"
"BD 06 B33","CAD-Labor Saal 3","30","BD - Hoftrakt","Lehargasse 6,"
"DA08G10","CAD1","13","DA - Freihausgebäude","Wiedner Hauptstraße 8-10,"
"DA07E10","CAD2","15","DA - Freihausgebäude","Wiedner Hauptstraße 8-10,"
"AE0138","CEE EDV-Lehrraum","30","AA - Hauptgebäude","Karlsplatz 13,"
"AE0144","CEE Sitzungszimmer","20","AA - Hauptgebäude","Karlsplatz 13,"
"DE0328","CPS Bibliothek","11","DE - Institutsgebäude","Treitlstraße 3,"
"DE0302","CPS Labor","10","DE - Institutsgebäude","Treitlstraße 3,"
"PCEG13","CPS Robotik-Labor","25","P - Lab.f.Fert.Technik","Engerthstr. 119,"
"Ch0217","Computerlabor CH0217","18","CH - ZMNS","Gußhausstraße 25-25a,"
"EA U1 20B","DSLab","24","EA - Institutsgebäude","Argentinierstraße 8,"
"EDVP","EDV Praktikum Physik","32","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 1. OG"
"DA02K20","EDV-Raum. DA grün 02 D","28","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, , Turm A, grüner Bereich, 2. OG"
"E1","EI 1 Petritsch HS","63","CF - Haupttrakt","Gußhausstraße 25-25a, 2. Stock"
"E10","EI 10 Fritz Paschke HS - UIW","151","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29, Stiege 1, Erdgeschoss"
"E11","EI 11 HS - INF","81","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29, Stiege 1, 3. Stock"
"E2","EI 2 Pichelmayer HS - ETIT","135","CF - Haupttrakt","Gußhausstraße 25-25a, 2. Stock"
"E3","EI 3 Sahulka HS - UIW","184","CF - Haupttrakt","Gußhausstraße 25-25a, 2. Stock"
"E3A","EI 3A Hörsaal","57","CF - Haupttrakt","Gußhausstraße 25-25a, 2. Stock"
"E4","EI 4 Reithoffer HS","90","CF - Haupttrakt","Gußhausstraße 25-25a, 2. Stock"
"E5","EI 5 Hochenegg HS","114","CF - Haupttrakt","Gußhausstraße 25-25a, 2. Stock"
"E6","EI 6 Eckert HS","30","CF - Haupttrakt","Gußhausstraße 25-25a, Stiege 10, 6. Stock"
"E7","EI 7 Hörsaal - ETIT","434","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29, Stiege 1, Erdgeschoss"
"E8","EI 8 Pötzl HS - QUER","139","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29, Stiege 1, Erdgeschoss"
"E9","EI 9 Hlawka HS - ETIT","181","CA - Gußhausstr. 27-29 - Neu El","Gußhausstraße 25-29, Stiege 1, Erdgeschoss"
"FCEG13A","Ersatzraum Prechtlsaal 1","10","FB - Erzherzog-Johann-Pl. 1","Erzherzog-Johann-Platz 1,"
"FBEG13","Ersatzraum Prechtlsaal 2","22","FB - Erzherzog-Johann-Pl. 1","Erzherzog-Johann-Platz 1,"
"FBEG09","Ersatzraum Prechtlsaal 3","10","FB - Erzherzog-Johann-Pl. 1","Erzherzog-Johann-Platz 1,"
"FAV1","FAV Hörsaal 1 Helmut Veith - INF","106","HA - Institutsgebäude","Favoritenstraße 9-11, Erdgeschoß"
"FAV2","FAV Hörsaal 2","35","HA - Institutsgebäude","Favoritenstraße 9-11, Erdgeschoß"
"ZEMS","FAV Hörsaal 3 Zemanek (Seminarraum Zemanek)","50","HA - Institutsgebäude","Favoritenstraße 9-11, Erdgeschoß"
"BCEGH21","FG Labs Fleig/Opitz/Fafilek 1","3","BC - Lehartrakt","Lehargasse 4,"
"BCEGH31","FG Labs Fleig/Opitz/Fafilek 3","3","BC - Lehartrakt","Lehargasse 4,"
"F8","FH 8 Nöbauer HS - MATH","203","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 2. OG"
"F1","FH Hörsaal 1 - MWB","383","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm C, roter Bereich, 1. u. 2. OG"
"F2","FH Hörsaal 2","53","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 2. OG"
"F3","FH Hörsaal 3 - MATH","86","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 2. OG"
"F4","FH Hörsaal 4","53","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm B, gelber Bereich, 2. OG"
"F5","FH Hörsaal 5 - TPH","198","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 2. OG"
"F6","FH Hörsaal 6 - TPH","198","DA - Freihausgebäude","Wiedner Hauptstraße 8-10, Turm A, grüner Bereich, 2. OG"
